EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58130,58,No,Travel_Rarely,Research & Development,22,2,Human Resources,4,Female,4,1,Laboratory Technician,4,Divorced,87645,5,No,13,3,3,2,21,1,2,40,14,9,3
58131,34,No,Travel_Frequently,Sales,9,2,Other,3,Male,4,5,Manufacturing Director,1,Single,68922,8,No,12,3,2,3,27,3,2,32,5,11,1
58132,43,No,Non-Travel,Human Resources,30,4,Technical Degree,2,Female,2,3,Sales Executive,1,Single,160640,0,No,11,3,1,0,17,3,2,19,13,0,5
58133,32,No,Travel_Frequently,Sales,30,2,Marketing,4,Male,3,4,Human Resources,3,Divorced,203753,1,No,13,4,3,3,18,1,2,0,12,14,8
58134,57,No,Non-Travel,Sales,24,4,Marketing,1,Female,4,3,Sales Executive,2,Married,137019,8,No,13,3,3,2,29,5,3,37,5,8,9
58135,35,No,Non-Travel,Human Resources,19,5,Life Sciences,2,Female,2,3,Manager,1,Married,29267,5,No,11,3,3,2,14,1,1,1,7,2,13
58136,25,No,Non-Travel,Human Resources,30,2,Technical Degree,3,Male,3,1,Human Resources,2,Divorced,194858,3,No,10,3,3,0,20,3,1,39,12,12,3
58137,20,No,Travel_Rarely,Sales,28,1,Technical Degree,2,Male,2,3,Sales Executive,2,Married,155448,5,No,15,3,2,2,22,3,1,20,13,8,8
58138,31,No,Travel_Frequently,Sales,2,5,Technical Degree,4,Male,4,3,Manufacturing Director,3,Single,218931,1,No,20,3,1,2,12,3,1,40,9,11,16
58139,51,No,Travel_Frequently,Research & Development,21,3,Human Resources,1,Female,4,4,Manager,3,Single,129994,7,No,20,3,1,0,8,2,3,11,6,5,15
58140,50,No,Travel_Rarely,Human Resources,26,4,Marketing,3,Male,4,4,Research Scientist,2,Single,30038,0,No,14,3,3,1,4,2,2,22,2,11,11
58141,54,No,Non-Travel,Human Resources,23,4,Marketing,1,Female,4,1,Research Scientist,1,Single,239547,2,No,16,3,1,0,36,1,2,10,14,2,17
58142,18,No,Non-Travel,Human Resources,22,4,Technical Degree,3,Female,2,4,Human Resources,2,Divorced,86346,4,Yes,24,3,4,0,4,6,3,20,7,4,4
58143,52,No,Travel_Rarely,Sales,19,3,Life Sciences,3,Male,4,1,Laboratory Technician,3,Single,165092,3,Yes,18,3,4,2,34,6,3,21,11,13,2
58144,27,No,Travel_Rarely,Sales,1,4,Medical,2,Female,3,4,Research Scientist,4,Married,101368,6,No,10,3,4,3,3,5,4,21,2,13,2
58145,36,No,Non-Travel,Sales,13,4,Life Sciences,2,Female,3,4,Manufacturing Director,3,Married,132807,1,No,19,3,1,3,36,5,1,12,6,5,13
58146,28,No,Travel_Rarely,Sales,26,4,Life Sciences,4,Female,3,4,Manufacturing Director,2,Divorced,65858,6,No,19,3,4,2,11,2,2,22,6,3,16
58147,52,No,Travel_Frequently,Human Resources,27,4,Marketing,4,Male,3,3,Manufacturing Director,3,Divorced,212459,4,Yes,17,3,1,3,5,3,3,27,12,14,0
58148,19,No,Travel_Frequently,Research & Development,14,1,Marketing,3,Male,2,3,Research Scientist,2,Married,236473,3,No,14,3,2,2,31,4,2,27,15,7,1
58149,20,No,Non-Travel,Research & Development,11,1,Medical,3,Male,2,4,Research Scientist,3,Single,164050,1,No,14,3,3,2,15,5,1,36,3,10,1
58150,32,No,Travel_Rarely,Human Resources,11,1,Technical Degree,3,Female,1,2,Manager,4,Married,212650,1,Yes,22,3,3,3,8,4,2,10,1,10,13
58151,58,Yes,Travel_Frequently,Sales,18,1,Human Resources,3,Female,2,5,Manufacturing Director,1,Divorced,247384,6,Yes,24,3,2,3,36,3,4,13,5,12,12
58152,45,Yes,Travel_Frequently,Sales,1,1,Human Resources,2,Male,2,1,Laboratory Technician,3,Divorced,233312,0,No,15,3,2,1,29,6,4,0,15,5,13
58153,19,No,Travel_Rarely,Human Resources,9,2,Technical Degree,4,Female,1,2,Sales Executive,2,Single,212031,5,Yes,17,3,4,3,35,5,3,12,10,10,9
58154,47,No,Travel_Rarely,Research & Development,12,1,Marketing,4,Female,2,5,Manufacturing Director,1,Divorced,120121,0,No,15,4,3,0,20,4,2,10,10,12,9
58155,55,No,Travel_Rarely,Sales,11,3,Marketing,1,Female,4,2,Healthcare Representative,4,Divorced,173582,2,No,23,3,2,2,28,2,1,31,18,3,17
58156,22,Yes,Travel_Rarely,Research & Development,23,5,Marketing,2,Male,1,2,Sales Executive,1,Married,208803,6,Yes,25,3,4,2,12,0,3,14,7,14,11
58157,23,No,Travel_Rarely,Human Resources,10,3,Medical,4,Male,3,5,Sales Executive,3,Married,50342,9,No,25,3,3,3,30,6,3,29,11,0,16
58158,22,No,Non-Travel,Human Resources,13,4,Marketing,3,Female,2,1,Manager,1,Single,235475,8,No,22,3,4,2,24,2,1,31,8,15,13
58159,29,Yes,Non-Travel,Human Resources,24,3,Other,4,Male,1,1,Manager,4,Married,244328,4,No,11,3,4,0,22,3,4,10,5,1,15
58160,21,No,Travel_Rarely,Human Resources,20,5,Technical Degree,1,Male,2,2,Manager,2,Single,146429,5,Yes,25,3,1,3,10,1,3,16,13,8,17
58161,41,No,Travel_Rarely,Human Resources,12,3,Human Resources,2,Female,4,1,Laboratory Technician,1,Married,249289,1,No,19,3,2,3,2,0,4,37,7,6,6
58162,42,No,Non-Travel,Research & Development,21,1,Other,4,Female,3,5,Healthcare Representative,1,Single,188951,4,No,21,3,1,2,22,4,4,3,14,15,3
58163,43,No,Travel_Frequently,Human Resources,11,2,Medical,2,Male,2,5,Manufacturing Director,4,Divorced,62517,9,No,17,4,4,3,21,2,4,17,14,11,3
58164,60,Yes,Travel_Rarely,Research & Development,22,2,Marketing,2,Male,3,2,Manufacturing Director,4,Married,245944,8,No,12,3,4,1,5,1,4,6,10,1,8
58165,50,No,Non-Travel,Sales,23,1,Life Sciences,3,Female,4,1,Sales Executive,3,Married,151467,8,No,17,3,2,3,22,1,1,1,13,2,3
58166,38,Yes,Non-Travel,Human Resources,30,1,Technical Degree,1,Female,2,3,Manager,3,Single,33969,5,No,20,3,3,0,11,2,4,16,16,8,8
58167,40,No,Travel_Frequently,Sales,24,5,Technical Degree,4,Male,3,5,Laboratory Technician,2,Divorced,72245,1,Yes,20,3,2,1,14,2,2,28,2,10,0
58168,54,No,Travel_Frequently,Research & Development,16,2,Medical,1,Female,2,3,Manufacturing Director,3,Single,30108,7,No,13,3,1,2,36,5,3,32,2,8,17
58169,54,No,Non-Travel,Research & Development,19,4,Technical Degree,2,Male,4,5,Laboratory Technician,3,Single,30697,2,No,22,3,1,3,11,3,3,12,11,14,16
58170,29,No,Non-Travel,Human Resources,25,2,Human Resources,2,Female,4,4,Manufacturing Director,2,Single,149455,8,Yes,14,3,4,2,15,4,1,22,13,11,6
58171,54,No,Travel_Frequently,Sales,14,5,Life Sciences,1,Male,4,3,Manufacturing Director,4,Married,43433,8,No,19,3,2,2,34,6,3,27,5,0,10
58172,38,No,Travel_Rarely,Research & Development,16,4,Human Resources,2,Female,3,1,Human Resources,2,Single,129744,7,No,25,3,4,0,8,0,4,23,3,14,17
58173,30,No,Travel_Rarely,Human Resources,4,5,Other,2,Male,1,3,Healthcare Representative,3,Married,19208,2,No,19,3,4,0,31,4,1,8,16,13,17
58174,60,Yes,Travel_Rarely,Sales,15,1,Medical,4,Female,3,2,Manager,3,Divorced,49203,8,Yes,12,3,4,1,17,2,1,11,10,4,12
58175,50,No,Non-Travel,Sales,1,1,Marketing,3,Male,3,2,Manager,2,Divorced,191452,5,No,14,3,3,3,20,1,3,2,15,5,3
58176,23,No,Non-Travel,Research & Development,2,3,Technical Degree,2,Male,2,3,Laboratory Technician,1,Divorced,35781,1,No,15,4,3,1,18,6,2,27,17,15,2
58177,60,No,Travel_Frequently,Research & Development,26,4,Technical Degree,2,Female,2,1,Research Scientist,1,Divorced,89057,0,Yes,14,3,1,1,28,5,2,5,2,10,13
58178,29,Yes,Travel_Rarely,Sales,22,4,Technical Degree,1,Female,1,5,Research Scientist,3,Divorced,28982,8,Yes,23,3,2,0,14,5,2,6,3,3,3
58179,55,No,Travel_Frequently,Research & Development,5,4,Technical Degree,1,Male,3,5,Healthcare Representative,4,Single,64078,0,No,12,3,2,2,29,1,3,29,4,10,0
58180,47,No,Travel_Rarely,Human Resources,21,2,Medical,1,Male,2,1,Manufacturing Director,2,Single,54591,5,No,23,3,3,0,5,3,2,21,8,14,1
58181,54,Yes,Travel_Rarely,Research & Development,18,4,Life Sciences,2,Male,2,1,Manager,2,Single,91159,2,No,24,3,2,2,19,1,4,0,10,14,9
58182,35,No,Travel_Rarely,Human Resources,23,4,Life Sciences,2,Male,2,4,Human Resources,1,Single,171486,4,No,20,4,3,3,17,4,2,6,1,4,14
58183,33,No,Non-Travel,Research & Development,30,3,Life Sciences,3,Female,3,2,Manager,3,Divorced,245402,3,Yes,20,3,1,0,15,3,2,40,16,1,17
58184,24,No,Non-Travel,Research & Development,21,4,Medical,1,Male,2,2,Manufacturing Director,2,Married,210419,1,Yes,10,3,3,2,10,1,1,7,9,6,0
58185,18,No,Travel_Frequently,Sales,12,3,Human Resources,2,Female,1,5,Healthcare Representative,4,Married,52481,7,No,23,3,3,3,21,6,1,25,6,4,14
58186,45,No,Travel_Frequently,Research & Development,1,3,Other,2,Female,1,1,Laboratory Technician,1,Married,168788,8,Yes,19,3,2,1,22,1,1,12,12,12,9
58187,20,Yes,Non-Travel,Human Resources,11,5,Human Resources,1,Female,4,1,Manager,4,Single,103926,8,No,20,3,3,2,37,0,1,36,14,14,7
58188,60,No,Travel_Frequently,Human Resources,6,3,Technical Degree,1,Male,1,1,Manager,4,Single,29769,0,Yes,25,3,1,0,3,2,4,10,1,2,7
58189,56,Yes,Travel_Rarely,Research & Development,18,3,Human Resources,2,Male,4,2,Human Resources,4,Divorced,61989,8,No,16,3,2,3,25,0,4,35,5,13,14
58190,27,No,Travel_Frequently,Human Resources,22,1,Other,1,Female,3,2,Laboratory Technician,2,Divorced,78615,6,Yes,16,3,2,3,1,1,3,30,17,7,14
58191,31,Yes,Non-Travel,Human Resources,24,3,Human Resources,4,Female,4,3,Manufacturing Director,4,Divorced,61929,5,No,16,3,2,2,20,3,3,15,18,8,17
58192,32,No,Non-Travel,Human Resources,25,3,Marketing,2,Female,3,5,Laboratory Technician,1,Divorced,125716,5,No,25,3,2,0,7,0,2,31,18,12,9
58193,23,No,Non-Travel,Human Resources,16,2,Technical Degree,2,Male,2,5,Research Scientist,1,Divorced,225390,3,No,13,3,3,1,10,2,2,38,6,15,13
58194,56,No,Travel_Frequently,Sales,19,4,Other,2,Male,3,3,Human Resources,2,Divorced,229720,7,Yes,21,3,2,1,25,6,4,37,16,1,3
58195,33,No,Travel_Frequently,Human Resources,30,1,Other,4,Male,4,5,Manufacturing Director,3,Married,248272,8,No,14,3,1,3,6,6,2,31,6,4,1
58196,35,No,Travel_Rarely,Sales,21,4,Human Resources,3,Male,1,3,Manager,4,Married,169552,9,Yes,10,3,3,2,22,5,4,17,7,2,17
58197,52,No,Travel_Frequently,Sales,14,5,Technical Degree,2,Female,3,2,Research Scientist,3,Married,221283,9,Yes,15,4,3,2,40,6,2,3,9,15,5
58198,42,No,Travel_Rarely,Sales,5,5,Medical,1,Female,2,5,Manufacturing Director,4,Single,198392,3,No,16,4,3,3,33,6,1,10,16,7,4
58199,50,Yes,Travel_Frequently,Sales,25,2,Marketing,1,Female,2,1,Laboratory Technician,4,Single,192136,7,No,23,3,3,2,9,5,4,24,5,1,13
58200,50,No,Travel_Frequently,Human Resources,2,3,Life Sciences,2,Male,3,5,Manufacturing Director,1,Divorced,58860,8,No,14,3,1,3,18,0,2,38,11,2,14
58201,36,No,Non-Travel,Human Resources,2,2,Marketing,2,Female,4,5,Research Scientist,1,Divorced,144012,6,No,12,3,4,0,2,2,3,28,14,5,6
58202,55,No,Travel_Frequently,Human Resources,8,5,Life Sciences,4,Female,1,4,Research Scientist,1,Married,242646,1,Yes,21,3,2,3,4,0,3,7,14,5,1
58203,28,No,Non-Travel,Human Resources,11,3,Marketing,2,Male,2,2,Manager,2,Married,94164,1,No,16,3,2,2,23,5,2,17,7,13,9
58204,56,No,Travel_Frequently,Human Resources,1,3,Technical Degree,4,Female,3,3,Manager,3,Married,99261,4,Yes,16,3,3,1,22,1,4,20,4,9,14
58205,20,No,Travel_Frequently,Sales,9,4,Other,4,Female,4,1,Manufacturing Director,3,Single,247954,9,No,18,3,3,2,38,1,2,38,4,9,16
58206,55,No,Travel_Frequently,Research & Development,17,3,Other,1,Female,2,4,Manager,4,Divorced,201951,1,No,11,3,3,0,35,2,4,22,11,13,8
58207,18,No,Travel_Frequently,Human Resources,3,5,Technical Degree,2,Male,3,2,Research Scientist,2,Married,199783,1,Yes,23,3,3,0,22,5,4,24,5,6,14
58208,57,No,Travel_Frequently,Human Resources,28,2,Life Sciences,1,Male,3,2,Research Scientist,3,Single,232328,7,No,17,3,2,3,9,2,3,40,5,11,16
58209,42,No,Non-Travel,Human Resources,2,1,Medical,2,Female,2,5,Laboratory Technician,3,Divorced,20607,8,No,16,4,4,3,30,2,4,23,9,11,1
58210,49,No,Travel_Frequently,Research & Development,16,3,Human Resources,4,Male,1,5,Manufacturing Director,3,Single,102686,1,No,24,3,2,2,25,5,2,33,8,13,8
58211,53,No,Travel_Rarely,Sales,29,4,Human Resources,4,Male,3,5,Research Scientist,2,Single,141557,2,No,23,3,1,3,12,6,4,23,13,8,11
58212,21,Yes,Travel_Rarely,Sales,30,1,Technical Degree,4,Female,2,2,Manufacturing Director,1,Married,86493,5,No,25,3,3,1,25,1,1,34,5,9,6
58213,40,No,Travel_Frequently,Research & Development,16,2,Life Sciences,2,Male,3,4,Research Scientist,4,Married,143282,6,No,20,3,4,2,19,6,4,32,16,14,12
58214,33,No,Non-Travel,Sales,13,3,Other,4,Male,2,2,Manager,4,Divorced,45015,8,No,10,3,3,0,21,4,4,33,1,12,13
58215,28,Yes,Travel_Frequently,Human Resources,13,1,Medical,1,Female,3,5,Human Resources,1,Divorced,160657,3,No,13,3,1,1,2,4,3,16,0,8,11
58216,39,No,Travel_Frequently,Human Resources,15,5,Human Resources,1,Female,3,5,Research Scientist,4,Single,246330,8,No,18,3,2,2,7,5,3,34,15,14,3
58217,56,No,Non-Travel,Research & Development,25,5,Marketing,2,Female,1,3,Sales Executive,2,Single,73244,5,Yes,19,3,4,2,29,4,2,9,12,4,11
58218,50,No,Travel_Rarely,Research & Development,19,5,Medical,4,Female,2,3,Human Resources,4,Married,198524,0,No,13,3,1,2,0,6,4,30,14,8,3
58219,58,No,Travel_Rarely,Human Resources,12,1,Medical,3,Female,4,5,Manager,4,Single,224537,4,No,25,3,3,2,7,6,3,21,2,13,13
58220,55,No,Travel_Rarely,Human Resources,19,4,Medical,2,Female,3,5,Healthcare Representative,4,Single,173408,2,Yes,25,4,3,3,13,3,1,10,18,6,5
58221,30,No,Travel_Rarely,Human Resources,24,1,Medical,2,Female,2,2,Human Resources,2,Single,183681,1,No,12,3,3,2,1,2,3,17,12,14,0
58222,38,No,Travel_Rarely,Sales,23,3,Other,3,Male,3,3,Sales Executive,1,Divorced,113969,3,No,21,4,3,2,19,1,1,12,3,14,3
58223,29,No,Travel_Rarely,Sales,3,2,Life Sciences,3,Male,3,3,Sales Executive,3,Married,107927,7,No,11,3,4,3,13,1,2,24,16,0,5
58224,43,Yes,Travel_Rarely,Sales,20,4,Human Resources,3,Male,1,4,Human Resources,3,Single,219223,9,Yes,12,4,2,3,33,1,4,22,7,10,13
58225,18,No,Non-Travel,Human Resources,6,2,Technical Degree,3,Male,1,4,Manufacturing Director,2,Single,214017,6,No,10,3,1,2,18,1,1,13,17,13,3
58226,58,No,Travel_Rarely,Human Resources,3,5,Life Sciences,3,Female,3,4,Sales Executive,3,Married,29433,6,Yes,13,3,4,2,24,2,3,1,3,8,4
58227,39,Yes,Non-Travel,Human Resources,6,1,Other,1,Male,1,3,Manager,4,Married,33720,9,Yes,18,4,3,1,31,0,4,28,14,8,17
58228,44,No,Travel_Frequently,Sales,6,2,Marketing,1,Female,4,5,Human Resources,1,Divorced,127452,1,Yes,11,3,2,2,6,1,3,3,0,2,4
58229,49,Yes,Travel_Rarely,Research & Development,22,5,Human Resources,4,Male,4,4,Healthcare Representative,4,Single,203812,6,No,17,4,4,0,14,0,4,35,16,12,12
58230,25,No,Non-Travel,Human Resources,10,2,Marketing,1,Male,2,5,Research Scientist,2,Married,52482,5,No,16,4,3,0,13,1,1,21,6,15,4
58231,51,No,Travel_Frequently,Sales,15,2,Other,3,Male,2,5,Manager,4,Married,181257,4,No,18,3,1,2,14,2,2,36,17,4,10
58232,35,No,Travel_Rarely,Sales,4,4,Marketing,1,Female,4,2,Manager,2,Divorced,179368,3,No,13,3,1,0,28,6,1,5,16,3,3
58233,21,No,Non-Travel,Human Resources,21,1,Human Resources,2,Female,4,4,Laboratory Technician,1,Single,16260,8,No,20,3,3,3,16,2,4,2,12,11,6
58234,18,No,Travel_Rarely,Human Resources,10,1,Life Sciences,2,Male,3,4,Human Resources,4,Married,123498,2,Yes,23,3,3,1,35,2,1,7,13,0,4
58235,33,No,Travel_Frequently,Research & Development,29,1,Technical Degree,3,Male,3,5,Laboratory Technician,2,Married,192039,3,Yes,22,3,1,1,27,6,4,8,18,14,12
58236,47,No,Travel_Frequently,Sales,15,3,Life Sciences,1,Female,3,4,Sales Executive,2,Married,237035,1,No,20,3,1,3,7,2,4,31,13,6,4
58237,40,No,Travel_Frequently,Sales,11,5,Technical Degree,2,Female,1,2,Research Scientist,4,Divorced,243327,3,No,25,3,4,0,17,1,2,15,10,13,13
58238,48,No,Non-Travel,Human Resources,5,5,Human Resources,4,Male,4,5,Laboratory Technician,1,Married,86958,1,Yes,21,4,2,1,39,2,4,38,6,6,12
58239,45,No,Travel_Rarely,Human Resources,26,2,Other,4,Female,4,2,Laboratory Technician,4,Married,31962,0,No,19,3,4,3,32,4,3,25,1,1,12
58240,54,No,Travel_Rarely,Research & Development,29,5,Technical Degree,3,Male,2,2,Human Resources,2,Single,187090,7,No,21,3,1,0,14,0,1,7,10,5,5
58241,33,No,Non-Travel,Sales,9,5,Human Resources,3,Male,4,4,Healthcare Representative,4,Single,118985,0,No,17,3,3,1,6,0,2,3,10,12,4
58242,58,No,Travel_Rarely,Research & Development,9,1,Other,2,Male,2,3,Healthcare Representative,3,Divorced,22236,6,No,22,3,1,3,4,4,1,35,16,1,0
58243,26,No,Non-Travel,Research & Development,1,3,Marketing,4,Female,2,5,Sales Executive,2,Divorced,226313,3,No,25,3,4,1,39,2,4,23,6,11,7
58244,19,No,Travel_Rarely,Human Resources,14,1,Human Resources,1,Female,3,1,Manager,1,Single,221846,8,Yes,16,3,4,1,1,5,3,8,16,4,9
58245,60,No,Non-Travel,Human Resources,2,5,Other,2,Female,3,4,Research Scientist,2,Divorced,235800,1,No,16,4,2,1,39,0,3,37,18,6,9
58246,19,No,Non-Travel,Sales,23,4,Marketing,3,Male,2,1,Manufacturing Director,1,Divorced,106045,1,Yes,23,4,3,2,39,0,4,13,14,15,13
58247,49,No,Travel_Frequently,Research & Development,24,5,Medical,1,Female,4,3,Laboratory Technician,1,Single,99853,2,Yes,25,3,4,2,21,6,1,37,14,1,10
58248,33,Yes,Travel_Rarely,Sales,24,2,Human Resources,4,Female,4,4,Research Scientist,1,Married,175649,4,No,21,3,1,1,28,6,2,4,14,4,12
58249,30,No,Non-Travel,Human Resources,6,4,Other,3,Male,1,4,Human Resources,3,Single,113942,9,No,25,3,1,2,8,1,2,2,18,2,8
58250,44,No,Travel_Frequently,Human Resources,27,3,Human Resources,1,Male,1,4,Sales Executive,2,Married,152523,6,No,17,4,3,3,28,1,4,29,10,0,16
58251,48,No,Travel_Frequently,Sales,28,1,Other,1,Male,2,5,Manager,1,Divorced,33459,5,No,22,3,2,0,37,0,2,38,0,1,2
58252,50,No,Travel_Rarely,Sales,8,4,Marketing,2,Female,4,2,Laboratory Technician,3,Divorced,196867,0,Yes,11,3,1,0,14,6,2,33,16,3,2
58253,38,No,Travel_Rarely,Research & Development,12,1,Other,4,Female,2,2,Laboratory Technician,1,Single,231449,0,No,10,3,4,0,25,4,1,27,6,11,10
58254,36,No,Non-Travel,Research & Development,6,3,Human Resources,1,Male,1,3,Healthcare Representative,2,Divorced,183449,0,No,17,3,2,3,23,4,3,14,11,13,11
58255,30,No,Non-Travel,Human Resources,10,5,Marketing,3,Female,1,3,Manager,4,Single,41085,2,No,11,3,2,3,12,1,1,5,7,15,8
58256,36,No,Non-Travel,Sales,14,2,Technical Degree,1,Female,1,3,Human Resources,2,Married,99478,5,Yes,14,4,1,3,3,4,3,0,5,1,13
58257,52,No,Travel_Rarely,Human Resources,4,2,Marketing,4,Male,1,5,Manufacturing Director,3,Single,55694,0,Yes,19,3,4,2,18,0,2,22,4,5,13
58258,52,No,Travel_Frequently,Human Resources,7,3,Technical Degree,1,Female,1,5,Laboratory Technician,2,Divorced,232684,2,No,14,4,3,2,12,1,3,10,0,0,1
58259,50,Yes,Travel_Frequently,Human Resources,2,4,Human Resources,1,Female,3,3,Manager,3,Single,66080,1,Yes,23,3,1,3,23,1,3,1,14,12,12
58260,20,No,Travel_Frequently,Research & Development,6,5,Human Resources,1,Male,3,5,Laboratory Technician,2,Single,169847,4,No,12,3,3,3,39,1,1,18,17,2,17
58261,38,No,Travel_Frequently,Human Resources,9,5,Medical,4,Male,1,1,Sales Executive,2,Divorced,226517,6,Yes,20,3,3,2,18,0,4,24,14,10,4
58262,57,No,Non-Travel,Sales,23,2,Other,2,Female,3,3,Human Resources,2,Divorced,91668,5,Yes,24,3,1,3,35,0,3,10,17,12,4
58263,40,No,Travel_Rarely,Research & Development,25,4,Medical,3,Female,2,1,Human Resources,4,Divorced,58220,2,No,11,4,2,1,3,2,2,32,0,15,16
58264,28,No,Non-Travel,Sales,1,3,Medical,1,Male,3,3,Sales Executive,1,Single,237610,7,No,25,3,2,3,34,4,4,33,8,1,8
58265,21,No,Travel_Rarely,Human Resources,24,2,Marketing,4,Female,3,2,Human Resources,4,Married,171321,1,No,25,3,2,1,32,5,1,25,11,5,7
58266,21,No,Travel_Frequently,Human Resources,29,3,Medical,1,Male,3,3,Human Resources,1,Single,142154,6,Yes,12,3,3,3,16,1,3,6,13,4,3
58267,32,No,Travel_Frequently,Research & Development,20,4,Marketing,4,Male,2,1,Research Scientist,4,Single,68287,2,Yes,14,3,2,0,20,0,2,2,4,10,17
58268,45,No,Travel_Rarely,Sales,18,2,Technical Degree,3,Male,4,4,Sales Executive,4,Married,109678,5,No,12,3,4,1,1,4,3,9,18,1,9
58269,53,Yes,Non-Travel,Research & Development,26,4,Medical,4,Male,3,4,Manager,4,Married,37941,7,No,21,3,2,1,25,2,3,14,13,6,16
58270,25,No,Travel_Rarely,Sales,19,5,Medical,4,Male,4,5,Laboratory Technician,1,Divorced,18468,8,No,19,3,1,2,9,6,2,26,14,2,4
58271,41,No,Travel_Rarely,Research & Development,29,5,Human Resources,1,Male,3,1,Laboratory Technician,4,Divorced,63777,1,No,17,3,4,3,36,6,2,33,17,1,11
58272,51,No,Travel_Rarely,Sales,4,3,Technical Degree,3,Female,4,2,Manufacturing Director,3,Single,48045,9,Yes,20,3,1,1,15,6,3,7,0,6,16
58273,32,No,Travel_Frequently,Sales,16,5,Life Sciences,4,Female,2,2,Laboratory Technician,1,Divorced,137583,2,No,13,4,3,3,1,2,4,4,10,15,0
58274,40,No,Travel_Frequently,Human Resources,22,1,Life Sciences,3,Male,3,4,Human Resources,2,Divorced,17899,4,No,17,3,3,2,23,6,2,1,1,12,8
58275,44,No,Travel_Rarely,Sales,22,4,Human Resources,3,Female,3,4,Manager,4,Married,60670,0,No,21,3,4,1,18,3,4,5,8,14,11
58276,31,No,Travel_Rarely,Research & Development,22,3,Technical Degree,2,Male,2,2,Laboratory Technician,2,Single,171063,6,Yes,12,4,1,3,37,0,4,38,9,15,0
58277,19,No,Travel_Frequently,Sales,17,2,Marketing,4,Male,3,2,Research Scientist,1,Single,87200,4,Yes,19,3,2,0,29,6,2,30,0,11,2
58278,52,No,Travel_Rarely,Sales,12,4,Medical,3,Female,2,3,Laboratory Technician,4,Single,73290,6,No,10,3,2,2,12,6,2,26,10,2,9
58279,60,No,Travel_Frequently,Human Resources,10,4,Medical,1,Female,4,4,Research Scientist,4,Single,68864,9,No,11,3,1,1,19,1,1,22,16,0,17
58280,24,No,Travel_Rarely,Human Resources,3,4,Other,3,Male,4,5,Research Scientist,1,Single,209377,6,No,21,3,2,3,25,2,3,2,9,10,13
58281,33,Yes,Travel_Rarely,Human Resources,28,2,Marketing,1,Male,2,5,Laboratory Technician,4,Divorced,19896,8,No,24,3,3,2,26,3,1,25,1,5,14
58282,39,No,Non-Travel,Human Resources,19,5,Human Resources,3,Male,1,2,Healthcare Representative,4,Divorced,240525,0,No,14,3,4,3,15,6,3,33,15,7,7
58283,45,No,Non-Travel,Sales,3,1,Medical,4,Male,3,5,Research Scientist,3,Divorced,41312,2,Yes,18,3,4,0,26,0,4,30,13,4,4
58284,49,No,Travel_Frequently,Sales,25,4,Marketing,4,Female,4,5,Laboratory Technician,3,Divorced,248430,8,No,16,3,4,2,0,2,3,15,6,5,14
58285,24,No,Non-Travel,Research & Development,12,5,Medical,1,Female,3,4,Research Scientist,3,Married,237293,3,Yes,22,3,2,0,20,3,1,25,16,8,11
58286,39,No,Travel_Frequently,Research & Development,24,2,Medical,1,Female,1,2,Manager,1,Single,116154,7,No,23,3,3,0,0,4,1,15,10,2,4
58287,60,No,Travel_Rarely,Research & Development,12,1,Other,3,Female,1,1,Sales Executive,3,Married,209582,8,Yes,16,3,3,1,17,1,1,20,7,13,13
58288,19,No,Travel_Frequently,Sales,24,1,Other,3,Female,3,2,Manufacturing Director,2,Single,202824,4,No,10,3,1,3,2,2,1,5,4,10,4
58289,25,No,Travel_Frequently,Sales,7,1,Marketing,4,Female,3,4,Research Scientist,4,Married,48778,9,No,16,3,3,0,24,1,4,13,6,7,12
58290,24,No,Travel_Rarely,Research & Development,8,4,Technical Degree,2,Female,1,3,Manager,1,Single,128496,5,Yes,19,3,1,2,8,3,2,3,17,13,9
58291,55,No,Travel_Frequently,Human Resources,23,1,Life Sciences,1,Male,3,2,Sales Executive,3,Divorced,68565,4,Yes,18,3,2,0,40,3,3,16,2,1,9
58292,38,No,Non-Travel,Research & Development,16,5,Technical Degree,1,Female,1,5,Human Resources,3,Divorced,28828,7,No,25,3,3,0,8,3,3,7,7,7,12
58293,60,No,Travel_Frequently,Research & Development,24,5,Marketing,4,Male,1,3,Healthcare Representative,4,Single,89702,3,No,12,3,1,0,19,6,1,9,0,3,13
58294,39,No,Travel_Rarely,Sales,21,5,Marketing,4,Female,3,1,Research Scientist,4,Divorced,40687,3,No,23,3,1,1,5,5,4,13,4,6,13
58295,52,Yes,Travel_Frequently,Sales,14,1,Technical Degree,1,Male,4,4,Manufacturing Director,1,Divorced,63104,0,Yes,23,3,2,1,7,4,1,5,17,2,17
58296,35,No,Travel_Rarely,Human Resources,20,4,Other,3,Female,4,5,Healthcare Representative,2,Divorced,131877,3,No,17,3,4,3,30,3,4,26,12,6,12
58297,26,No,Travel_Frequently,Research & Development,26,3,Life Sciences,4,Female,1,1,Sales Executive,4,Married,142401,2,Yes,21,3,4,0,15,3,2,27,11,1,10
